# Generated by tmod.input prcp_voronoi=prcp_stations_voronoi_watershed evap_voronoi=evap_stations_voronoi_watershed start_date=2010-01-01 end_date=2020-12-31 output=input.txt
# dt [h]: Time step
24

################################################################################
# R [m/dt]:  Rainfall
# Ep [m/dt]: Potential evapotranspiration

# R Ep
0.000000 0.003800
0.006586 0.000500
0.000000 0.002500
0.001010 0.001500
0.000000 0.004600
0.000000 0.003000
0.000000 0.003300
0.000000 0.003600
0.000092 0.003800
0.000000 0.003800
0.004084 0.005100
0.007200 0.002800
0.002670 0.003600
0.000000 0.005300
0.000000 0.007600
0.000000 0.007100
0.000000 0.005300
0.000000 0.005800
0.000000 0.002800
0.000000 0.004600
0.000000 0.005600
0.000000 0.005800
0.004405 0.004600
0.000000 0.005800
0.003945 0.004600
0.001964 0.001000
0.000000 0.007600
0.000000 0.005100
0.000000 0.005100
0.015599 0.002000
0.001102 0.001500
0.000000 0.008600
0.000000 0.006900
0.000000 0.007100
0.000000 0.003300
0.020802 0.004600
0.000762 0.006600
0.000000 0.006100
0.000000 0.007400
0.000000 0.003800
0.003126 0.002300
0.000003 0.003600
0.000081 0.004100
0.000000 0.006600
0.000000 0.008400
0.000000 0.007900
0.000000 0.006400
0.000000 0.007100
0.000000 0.007100
0.000000 0.006400
0.009516 0.003800
0.018626 0.002000
0.000000 0.006600
0.000000 0.006900
0.000000 0.006600
0.000000 0.007100
0.000000 0.007400
0.000000 0.007600
0.000000 0.007600
0.030950 0.003300
0.001502 0.004300
0.009818 0.005300
0.000292 0.008400
0.001379 0.007600
0.000841 0.005800
0.000000 0.006400
0.000000 0.007600
0.000000 0.008900
0.000056 0.006600
0.000000 0.006400
0.007486 0.005100
0.006096 0.005300
0.000000 0.008600
0.000000 0.010200
0.000000 0.006400
0.006809 0.006400
0.008861 0.002500
0.001565 0.006400
0.000051 0.002000
0.011768 0.001000
0.000045 0.006600
0.000000 0.005600
0.000000 0.006100
0.000000 0.006400
0.000000 0.006900
0.000000 0.006900
0.002805 0.006400
0.000015 0.005800
0.000617 0.003600
0.000232 0.005300
0.004628 0.005300
0.002576 0.006400
0.000231 0.005800
0.005028 0.007600
0.009510 0.005600
0.005159 0.006100
0.009176 0.002300
0.000000 0.008900
0.000000 0.008600
0.000000 0.006900
0.000000 0.007900
0.000000 0.008400
0.000000 0.008600
0.000115 0.008900
0.007941 0.009100
0.000357 0.008400
0.000821 0.009400
0.000000 0.008600
0.000000 0.006600
0.000000 0.006900
0.000000 0.008400
0.000000 0.009700
0.000000 0.008600
0.000187 0.010900
0.000000 0.008600
0.000000 0.008600
0.000663 0.007600
0.017360 0.006100
0.000131 0.004600
0.000000 0.009400
0.011389 0.008100
0.000072 0.008400
0.000000 0.008400
0.000666 0.008900
0.000600 0.008600
0.000225 0.009400
0.007357 0.009400
0.000670 0.008100
0.003121 0.009100
0.000192 0.008100
0.000000 0.009700
0.004857 0.008600
0.000000 0.008400
0.000622 0.008400
0.000336 0.009700
0.004788 0.008100
0.014982 0.005300
0.002738 0.006600
0.003829 0.006100
0.000146 0.007100
0.007288 0.007600
0.007636 0.007600
0.002987 0.005800
0.017035 0.005100
0.000142 0.006900
0.003671 0.009100
0.000118 0.008400
0.000000 0.010400
0.002215 0.009100
0.008427 0.005300
0.003165 0.006900
0.001304 0.008600
0.007061 0.004800
0.001792 0.003000
0.046964 0.007600
0.001728 0.004300
0.000798 0.005600
0.001406 0.006900
0.004496 0.008400
0.030418 0.005100
0.007667 0.006400
0.007499 0.005100
0.000881 0.005100
0.010467 0.004300
0.000120 0.007400
0.000162 0.007600
0.001456 0.007600
0.000336 0.007600
0.000382 0.007400
0.003101 0.006900
0.003686 0.004100
0.010364 0.004600
0.002587 0.005800
0.000000 0.005300
0.000000 0.006100
0.001108 0.002300
0.000943 0.005800
0.004095 0.006400
0.001109 0.006900
0.000084 0.006400
0.000000 0.006100
0.000000 0.006600
0.000000 0.006100
0.005053 0.005800
0.000015 0.002000
0.000000 0.006100
0.000000 0.005600
0.000000 0.003800
0.000000 0.006100
0.000000 0.007100
0.000000 0.006900
0.000000 0.006600
0.001055 0.005600
0.000000 0.007600
0.000379 0.006100
0.000000 0.005800
0.000000 0.007600
0.000000 0.007100
0.000000 0.006100
0.000000 0.005100
0.013089 0.002500
0.000000 0.005100
0.000000 0.005800
0.000000 0.006900
0.000000 0.004600
0.000000 0.004800
0.000000 0.004800
0.000306 0.002500
0.001253 0.006600
0.004967 0.005300
