# Generated by tmod.input prcp_voronoi=prcp_stations_voronoi_watershed evap_voronoi=evap_stations_voronoi_watershed start_date=2010-01-01 end_date=2020-12-31 output=input.txt
# dt [h]: Time step
24

################################################################################
# R [m/dt]:  Rainfall
# Ep [m/dt]: Potential evapotranspiration

# R Ep
0.001841 0.007600
0.000857 0.007600
0.000066 0.007400
0.017879 0.007600
0.010679 0.001800
0.005858 0.007100
0.000660 0.004100
0.002249 0.005300
0.002979 0.007100
0.000003 0.006400
0.000000 0.007100
0.004755 0.006900
0.000336 0.008600
0.018115 0.008100
0.003874 0.002300
0.000003 0.005300
0.000408 0.006100
0.003316 0.005600
0.012298 0.007600
0.001347 0.007600
0.000323 0.007600
0.000000 0.008900
0.000072 0.008600
0.000087 0.008900
0.009365 0.005100
0.000004 0.007600
0.000000 0.008900
0.000007 0.005800
0.000089 0.009100
0.008313 0.009100
0.004431 0.006600
0.000167 0.010200
0.000007 0.009700
0.000830 0.010200
0.000208 0.007900
0.009739 0.006400
0.000080 0.005100
0.002081 0.007400
0.004888 0.009100
0.000000 0.007100
0.000000 0.009700
0.000009 0.008400
0.000660 0.008900
0.013896 0.005100
0.000065 0.008600
0.000000 0.007600
0.000000 0.005600
0.000112 0.007600
0.004877 0.004600
0.007544 0.007600
0.002306 0.006100
0.000713 0.007400
0.000000 0.007600
0.000000 0.009700
0.000000 0.007600
0.000185 0.004300
0.004055 0.007400
0.000000 0.008400
0.000000 0.009900
0.000000 0.007600
0.000000 0.007600
0.000000 0.007400
0.000000 0.006600
0.000000 0.007400
0.000051 0.008600
0.003532 0.003600
0.064001 0.003800
0.004199 0.002300
0.000492 0.001000
0.000000 0.004800
0.000432 0.005300
0.000000 0.005600
0.000000 0.006100
0.000000 0.007400
0.000000 0.005600
0.000000 0.007600
0.000000 0.006100
0.000000 0.004800
0.000000 0.004600
0.000000 0.007600
0.001757 0.000300
0.005462 0.002800
0.012907 0.003000
0.026276 0.000000
0.006432 0.003600
0.000330 0.004800
0.001127 0.005300
0.009607 0.003000
0.000056 0.006400
0.000000 0.004600
0.000000 0.005600
0.000000 0.006900
0.000000 0.005100
0.000000 0.005100
0.000000 0.003800
0.000000 0.003800
0.000000 0.003800
0.000000 0.003800
0.000000 0.005100
